Date,KLAC,CL,VIX,AvgVIX,zscore
2024-01-30,584.34326171875,79.9580078125,13.3100004196167,13.347500038146972,-1.4409341897253067
2024-01-31,583.0574340820312,79.92949676513672,14.350000381469727,13.405000066757202,-1.4465849874112096
2024-02-01,588.02392578125,81.75214385986328,13.880000114440918,13.397000074386597,-1.3471206898156933
2024-02-02,593.1474609375,80.3282241821289,13.850000381469727,13.383000087738036,-1.3943089383191578
2024-02-05,603.5122680664062,79.8250961303711,13.670000076293945,13.399000072479248,-1.381987636723975
2024-02-06,590.4973754882812,79.49285125732422,13.0600004196167,13.39800009727478,-1.4411633177775944
2024-02-07,597.6427612304688,79.60675811767578,12.829999923706055,13.40150008201599,-1.4117804414606157
2024-02-08,607.0554809570312,79.98648071289062,12.789999961853027,13.406500101089478,-1.362661677195602
2024-02-09,637.78662109375,79.22705078125,12.930000305175781,13.431000137329102,-1.2929295174842255
2024-02-12,636.0689697265625,79.32198333740234,13.930000305175781,13.492500162124633,-1.2944475737313719
2024-02-13,629.2180786132812,79.23654174804688,15.850000381469727,13.593000173568726,-1.321541790275248
2024-02-14,641.751953125,79.46436309814453,14.380000114440918,13.57250018119812,-1.2687305866252852
2024-02-15,641.7420654296875,79.33148193359375,14.010000228881836,13.566500186920166,-1.2747883387945742
2024-02-16,650.5657958984375,79.24604034423828,14.239999771118164,13.613500165939332,-1.248754383881365
2024-02-20,641.14208984375,80.31871795654297,15.420000076293945,13.725000190734864,-1.232065047987072
2024-02-21,641.28955078125,80.98321533203125,15.34000015258789,13.864500188827515,-1.201439895410659
2024-02-22,672.6201782226562,81.63822174072266,14.539999961853027,13.934500169754028,-1.0655515846443684
2024-02-23,657.9140625,81.87554168701172,13.75,13.949500179290771,-1.1046380384341234
2024-02-26,672.6694946289062,81.78063201904297,13.739999771118164,13.973500156402588,-1.0589281838176725
2024-02-27,666.53125,82.02743530273438,13.430000305175781,13.96500015258789,-1.0685444302450313
2024-02-28,662.02587890625,82.40715026855469,13.84000015258789,13.99150013923645,-1.0666005297026895
